time,weighted mean,standard mean,weighted mean (5 years rolling ave.),standard mean (5 years rolling ave.)
1948-01-01,-0.3444167,-0.23168258,,
1948-02-01,-0.5339019,-0.66267085,,
1948-03-01,-0.70699143,-0.9237341,,
1948-04-01,-0.6188395,-1.0644541,,
1948-05-01,-0.40712422,-0.5642095,,
1948-06-01,-0.4947585,-0.8717262,,
1948-07-01,-0.66202474,-1.1072301,,
1948-08-01,-0.4743219,-0.62973875,,
1948-09-01,-0.5120076,-0.8903829,,
1948-10-01,-0.36622843,-0.41438383,,
1948-11-01,-0.3571143,-0.20264018,,
1948-12-01,-0.4624759,-0.8323727,,
1949-01-01,-0.12630205,-0.18325806,,
1949-02-01,-0.30667973,-0.028203724,,
1949-03-01,-0.53146875,-0.69834334,,
1949-04-01,-0.6420528,-1.1054643,,
1949-05-01,-0.5809044,-0.8995139,,
1949-06-01,-0.5775471,-0.7846241,,
1949-07-01,-0.54125714,-0.8474485,,
1949-08-01,-0.64407,-1.0459628,,
1949-09-01,-0.59404886,-0.8593107,,
1949-10-01,-0.5434137,-0.9385845,,
1949-11-01,-0.4344301,-0.22972772,,
1949-12-01,-0.3558016,0.161016,,
1950-01-01,-0.4285743,-0.2349808,,
1950-02-01,-0.5860773,-1.0775511,,
1950-03-01,-0.46704692,-0.36647922,,
1950-04-01,-0.61560446,-0.6382193,,
1950-05-01,-0.5748771,-0.754951,,
1950-06-01,-0.56360894,-0.78021157,,
1950-07-01,-0.44784868,-0.5449335,-0.46680768877267836,-0.661693652983134
1950-08-01,-0.7510197,-1.1346538,-0.46469370399912197,-0.6605642711278051
1950-09-01,-0.68188304,-1.3540442,-0.458697530378898,-0.6550329441980769
1950-10-01,-0.676199,-1.1443647,-0.45204518710573516,-0.653447216268008
1950-11-01,-0.70117605,-0.93027776,-0.4444836534559727,-0.6398517663435389
1950-12-01,-0.4657319,-0.57131505,-0.4417273690303167,-0.6339923337257157
1951-01-01,-0.5949926,-0.9304798,-0.43747304926315944,-0.6294254347837219
1951-02-01,-0.8153012,-1.2534081,-0.43015925685564677,-0.6160634964859734
1951-03-01,-0.61895436,-0.828252,-0.42919382005929946,-0.617605397120739
1951-04-01,-0.5374066,-0.5377829,-0.4289275894562403,-0.6230976392980665
1951-05-01,-0.40087688,-0.4456067,-0.42909038861592613,-0.6301128516749789
1951-06-01,-0.399991,-0.6101127,-0.4277306795120239,-0.629473872995004
1951-07-01,-0.3602585,-0.466467,-0.42168336659669875,-0.615282618176813
1951-08-01,-0.45122498,-0.9772056,-0.4248995788395405,-0.615381556423381
1951-09-01,-0.26241484,-0.5326268,-0.4269005186855793,-0.628218173685794
1951-10-01,-0.38880566,-0.92222196,-0.4267642227311929,-0.6337524162760625
1951-11-01,-0.31515145,-0.8048912,-0.42587353760997454,-0.6293290403516342
1951-12-01,-0.057870768,-0.010211962,-0.42630860085288685,-0.628311057590569
1952-01-01,-0.08562646,0.2215589,-0.4278437274197737,-0.6311454491845022
1952-02-01,-0.1520756,-0.09315516,-0.42982088203231494,-0.6325620558888961
1952-03-01,-0.41843617,-0.9849727,-0.4298229125638803,-0.6293190873693675
1952-04-01,-0.43350807,-0.7125663,-0.4316475031276544,-0.6352533784539749
1952-05-01,-0.29388532,-0.30811703,-0.4326575455566247,-0.6342887766193599
1952-06-01,-0.2853408,-0.5929532,-0.43294945086042086,-0.6406544399292519
1952-07-01,-0.40376964,-0.6354736,-0.4343513461450736,-0.6457359253894538
1952-08-01,-0.50572515,-0.8338137,-0.4298971496522427,-0.6394546187948436
1952-09-01,-0.42340177,-0.7314096,-0.42975191300113996,-0.6369386501144618
1952-10-01,-0.41445142,-0.9879653,-0.4336019498606523,-0.6466217683783422
1952-11-01,-0.39518654,-0.40143737,-0.435008296618859,-0.6538748062681407
1952-12-01,-0.21597686,0.0645863,-0.4358493261039257,-0.658215903940921
1953-01-01,-0.21757762,-0.16391967,-0.43742855116724966,-0.6620808499089131
1953-02-01,-0.17413145,-0.33079123,-0.4405340058108171,-0.6698808816106369
1953-03-01,-0.30785084,-0.82859045,-0.43788733209172886,-0.6646312829883149
1953-04-01,-0.16514748,-0.24872708,-0.4357368600865205,-0.657160540126885
1953-05-01,-0.24174716,-0.21264356,-0.43238730107744533,-0.6485507336289932
1953-06-01,-0.2394993,-0.5977123,-0.4308116155366103,-0.6498326497307668
1953-07-01,-0.22319719,-0.30551377,-0.43151885494589803,-0.6440422671070943
1953-08-01,-0.4163957,-0.7222528,-0.428569486985604,-0.6290247816437234
1953-09-01,-0.49603376,-1.2199174,-0.42633018220464386,-0.6187606373025726
1953-10-01,-0.37599638,-0.8352966,-0.4276830298205217,-0.6276781746341537
1953-11-01,-0.27553174,-0.16430146,-0.4306812100112438,-0.6354444631530592
1953-12-01,-0.09963712,0.019102564,-0.4354651443660259,-0.6434664585782836
1954-01-01,-0.31927478,-0.18919435,-0.4406973915795485,-0.6492218612227589
1954-02-01,-0.42673612,-0.79840076,-0.44644988303383193,-0.6579129500780254
1954-03-01,-0.523291,-1.0303979,-0.45215771223107976,-0.6625475281073402
1954-04-01,-0.5886117,-0.8400618,-0.46062891160448394,-0.6746735039943208
1954-05-01,-0.6070082,-0.83843493,-0.4672449293235938,-0.6838856094672034
1954-06-01,-0.66965467,-0.9546876,-0.4698336638510227,-0.6779704435262829
1954-07-01,-0.6598864,-0.93244493,-0.4734417914102475,-0.6705836932485302
1954-08-01,-0.64419186,-0.8513847,-0.4768057050804297,-0.6735274338473877
1954-09-01,-0.7035243,-1.2153682,-0.4806210820873578,-0.6796360528717439
1954-10-01,-0.60401624,-0.8807084,-0.4820544943213463,-0.6723821278661489
1954-11-01,-0.4519444,-0.6116675,-0.4818382446964582,-0.6711326893419027
1954-12-01,-0.43991533,-0.14387313,-0.48221986144781115,-0.6732074927538634
1955-01-01,-0.1613225,0.14189759,-0.48105160767833394,-0.6692241918295622
1955-02-01,-0.5773631,-0.926593,-0.48173262750109036,-0.6711093099166949
1955-03-01,-0.6980491,-0.9474663,-0.4806318881611029,-0.6706055900702874
1955-04-01,-0.69998527,-1.0734016,-0.4804248260955016,-0.676697334771355
1955-05-01,-0.62533885,-1.0154169,-0.4788794510066509,-0.6688206336150567
1955-06-01,-0.65836245,-1.0121083,-0.47512389793992044,-0.6683242843796809
1955-07-01,-0.63417596,-1.0129354,-0.4719477189394335,-0.6724334978808959
1955-08-01,-0.5922193,-0.8196779,-0.4672550533277293,-0.6631792149196069
1955-09-01,-0.5528547,-0.9057996,-0.4663145266783734,-0.6628906688342492
1955-10-01,-0.47522548,-0.6277763,-0.46613135216757656,-0.6570196575174729
1955-11-01,-0.6066349,-1.0071927,-0.47003517774865033,-0.6702916707843543
1955-12-01,-0.50816625,-0.2238921,-0.4718453958941003,-0.679147285843889
1956-01-01,-0.4180305,-0.029430697,-0.4757820303551853,-0.6847464587539435
1956-02-01,-0.6809429,-0.6375594,-0.4788097724628945,-0.6918052177876234
1956-03-01,-0.7001252,-1.3633043,-0.4802218179218471,-0.695814273878932
1956-04-01,-0.71729743,-1.0037602,-0.48097159319246807,-0.6928358496477206
1956-05-01,-0.68791294,-0.92692643,-0.4808331609082719,-0.6938855510205031
1956-06-01,-0.71392584,-0.9554369,-0.4805214663657049,-0.7010310253749291
1956-07-01,-0.705408,-0.9879323,-0.48021631690983974,-0.7046959998396536
1956-08-01,-0.79369473,-1.2552803,-0.4766818408233424,-0.7043961171992124
